sourcecode,sourcename,targetcode,targetname,date,verbal,cooperation,count,eventcode
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199102,1,0,2,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199103,0,0,3,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199103,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199103,1,1,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199104,1,1,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199108,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199108,1,1,5,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199109,1,1,2,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199110,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199201,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199201,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199206,1,1,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199207,1,1,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199208,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199209,1,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199209,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199211,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199212,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199303,1,1,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199304,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199304,1,1,5,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199305,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199309,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199309,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199311,0,1,2,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199401,1,1,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199402,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199402,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199407,1,0,3,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199407,1,1,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199408,1,1,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199410,1,0,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199410,1,1,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199411,1,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199412,1,0,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199504,1,1,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199505,0,0,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199505,1,0,5,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199505,1,1,23,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199506,0,0,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199506,0,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199506,1,0,19,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199506,1,1,11,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199507,0,0,2,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199507,1,0,25,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199507,1,1,14,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199508,0,0,7,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199508,1,0,33,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199508,1,1,6,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199509,0,0,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199509,1,0,15,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199509,1,1,9,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199510,0,0,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199510,1,0,7,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199510,1,1,36,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199511,0,0,7,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199511,1,0,15,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199511,1,1,5,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199512,0,0,2,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199512,1,0,13,713
710,HONG KONG,713,"TAIWAN, PROVINCE OF CHINA",199512,1,1,10,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199601,0,0,7,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199601,0,1,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199601,1,0,18,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199601,1,1,5,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199602,0,0,12,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199602,1,0,25,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199602,1,1,20,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199603,0,0,42,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199603,1,0,54,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199603,1,1,62,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199604,0,0,2,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199604,1,0,10,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199604,1,1,11,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199605,0,0,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199605,1,0,24,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199605,1,1,29,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199606,0,0,5,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199606,1,0,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199606,1,1,20,710
710,HONG KONG,713,"TAIWAN, PROVINCE OF CHINA",199607,0,0,3,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199607,0,1,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199607,1,0,7,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199607,1,1,14,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199608,1,0,11,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199608,1,1,33,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199609,0,1,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199609,1,0,15,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199609,1,1,30,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199610,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199610,1,0,7,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199610,1,1,13,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199611,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199611,1,0,7,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199611,1,1,26,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199612,0,0,4,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199612,1,0,4,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199612,1,1,13,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199701,0,0,1,710
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199701,0,1,1,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199701,1,0,3,713
710,CHINA,713,"TAIWAN, PROVINCE OF CHINA",199701,1,1,23,713
